	A_1_A	A_2_A	A_3_A	A_4_A	A_5_A	A_6_A	A4_1_A	A4_2_A	A4_3_A	A4_4_A	A4_5_A	A4_6_A	A6_1_A	A6_2_A	A6_3_A	A6_4_A	A6_5_A	A6_6_A	AM_1_A	AM_2_A	AM_3_A	AM_4_A	AM_5_A	AM_6_A	W_1_A	W_2_A	W_3_A	W_4_A	W_5_A	W_6_A
OTU_14584	90	3	2	8	8	125	708	514	582	461	526	697	1788	1794	2464	2043	2348	2343	1993	1470	2017	842	2117	1836	8	15	135	6	7	7
OTU_10876	730	1079	278	608	174	256	1381	1546	1539	1662	1621	1221	1140	1237	1080	1142	1013	1095	1126	1191	1111	1293	1086	1100	55	199	552	354	139	255
OTU_11116	4588	1642	1127	5709	1479	3783	12	52	25	43	9	14	303	91	114	114	122	165	11	0	1	0	1	4	4557	2289	467	413	2115	347
OTU_14568	99	15	9	16	16	129	746	420	509	414	447	649	1619	1661	2356	2033	2228	2264	2009	1490	2005	850	2085	1843	19	17	159	14	19	39
OTU_14530	151	120	14	17	191	85	1026	205	215	339	197	5021	1027	1086	1391	1237	1317	1349	1129	1113	1403	2068	1239	1044	64	55	97	155	162	350
OTU_2004	3254	1214	183	560	830	1003	311	238	272	226	223	1888	1072	280	290	780	280	241	209	369	152	569	232	286	5466	640	563	1731	658	1325
OTU_1080	643	1543	236	308	262	86	623	430	594	391	3689	2735	1005	313	162	401	200	107	177	124	76	2883	95	555	4517	890	43	309	585	263
OTU_1639	554	35	325	39	2632	972	1128	731	619	543	662	383	1538	1044	821	1544	861	956	472	95	28	433	209	155	2759	1068	493	141	1998	1070
OTU_10995	626	933	470	948	161	208	1151	1277	1335	1421	1302	947	881	973	872	959	778	869	867	966	881	1016	886	886	62	186	449	275	135	238
OTU_8587	1966	209	748	177	3996	2220	63	51	57	52	38	83	17	19	14	15	17	18	90	94	66	449	136	66	4216	1180	596	1384	254	6453
OTU_11067	842	1129	671	1046	302	373	812	1055	1133	1095	1151	792	735	857	748	890	616	765	752	864	904	919	815	843	188	335	590	562	250	525
OTU_3503	496	1254	657	2545	678	862	35	28	70	21	3	34	4	10	7	23	14	12	8	20	194	3	11	38	676	636	3037	5372	3102	4308
OTU_11474	2403	2224	1815	2375	2457	3607	242	189	212	199	147	57	45	52	30	49	62	28	90	87	116	23	30	22	724	1788	673	1372	953	618
OTU_164	840	524	358	265	279	259	992	519	663	472	1511	1323	1242	467	390	593	457	363	754	654	219	2997	623	907	1604	634	180	323	381	373
OTU_3518	206	271	400	131	223	236	1336	1290	699	623	9	1258	225	882	553	929	1024	1009	850	1744	700	63	347	1386	390	925	452	1088	811	548
OTU_14554	66	7	57	11	47	174	768	455	499	428	615	830	1156	1190	1621	1322	1561	1550	1380	987	1403	635	1554	1243	26	12	95	24	12	20
OTU_10994	427	663	194	399	135	188	1048	1175	1259	1335	1165	909	819	932	780	860	712	798	785	810	801	909	797	789	70	180	438	310	140	207
OTU_11093	3329	1069	207	233	3343	773	18	257	78	128	22	612	213	146	2	22	1471	26	355	4024	1919	132	994	671	88	55	167	49	47	154
OTU_3471	191	413	2392	2453	47	863	33	26	14	6	0	27	7	9	4	34	84	20	3	142	8	0	67	46	1364	282	6279	2090	1308	3176
OTU_14527	58	2	8	11	12	87	457	313	304	273	321	273	1205	1293	1742	1419	1694	1615	1499	1064	1472	582	1559	1375	42	10	110	12	18	32
OTU_8822	1442	699	977	786	854	842	119	203	104	56	174	167	237	84	37	85	92	52	172	174	164	184	136	198	4489	1810	1217	1408	1465	1582
OTU_13989	342	244	331	434	388	382	984	737	1157	1218	1078	3509	204	240	256	248	240	269	577	556	579	743	531	624	297	602	382	341	811	458
OTU_11794	2471	1577	578	3176	2719	2505	5	7	3	10	3	1	47	36	9	22	24	24	1	0	0	0	0	1	434	351	2163	1821	427	1544
OTU_1740	278	5	256	50	25	105	343	322	448	212	608	473	1828	979	913	1341	858	847	822	662	202	2610	556	1057	1613	26	52	136	23	39
OTU_14779	2236	812	436	484	2506	734	279	219	165	150	89	635	180	151	169	161	230	171	204	224	241	141	212	217	316	1472	969	2170	1644	1174
OTU_11290	2136	1945	1588	2114	2198	3199	100	64	66	72	49	19	9	12	8	10	11	7	15	20	26	6	6	2	646	1120	612	1225	796	529
OTU_14519	66	11	17	14	4	84	103	59	76	52	85	110	1083	1129	1540	1288	1413	1500	1364	1007	1389	554	1438	1321	46	13	81	7	26	28
OTU_10868	304	490	167	284	111	166	873	949	968	1036	929	703	683	716	643	695	592	651	646	701	718	757	639	659	47	104	340	213	96	158
OTU_3499	935	1213	2541	311	920	885	77	65	49	35	13	68	20	14	12	15	24	15	10	33	39	6	30	35	849	684	2180	4305	1551	552
OTU_7929	521	921	275	1743	483	219	382	765	316	199	94	963	27	95	176	179	109	55	495	844	615	159	409	771	316	184	110	65	3965	864
OTU_8828	707	877	662	474	665	529	201	189	119	251	136	309	146	51	41	99	72	65	179	124	107	104	188	147	2246	2073	2125	1220	897	1907
OTU_10830	50	66	121	54	217	120	56	39	7	40	11	472	20	301	349	139	1678	2580	40	7832	218	49	96	91	13	217	55	52	167	102
OTU_10871	281	421	140	229	115	133	806	927	938	982	906	675	664	729	606	674	596	612	644	697	636	741	619	617	34	126	325	208	91	155
OTU_10124	38	277	385	366	286	143	65	481	1905	329	10	975	154	381	268	413	1513	1390	183	1081	2447	166	203	309	11	206	330	395	352	423
OTU_10377	531	830	395	313	214	915	25	208	156	117	6	38	19	114	4	36	66	16	13	27	150	4	137	21	3262	6275	110	837	802	936
OTU_1743	212	18	215	36	54	97	349	320	458	228	673	487	1399	771	738	977	655	692	714	562	183	2273	462	926	1222	30	40	87	43	44
OTU_8906	1161	525	788	613	687	684	97	158	86	44	153	155	205	64	30	77	59	39	137	130	142	137	131	167	3517	1487	961	1087	1173	1299
OTU_8340	1129	653	1047	1002	1008	1159	3	2	3	4	3	2	39	45	5	30	11	4	125	41	28	64	17	7	2565	581	2291	1086	1327	1448
OTU_14529	48	14	54	24	18	61	596	439	472	374	461	460	727	764	1028	838	997	1011	879	684	889	383	945	788	467	35	61	37	41	246
OTU_9330	487	609	999	501	709	886	140	282	256	181	93	320	190	186	113	159	111	118	232	304	223	95	227	243	369	1119	1611	1789	1311	824
OTU_10226	1252	1055	753	1600	1995	908	131	118	167	192	80	191	127	113	43	51	104	92	131	192	161	59	102	105	1073	1118	624	580	705	684
OTU_1047	133	250	76	73	62	40	727	457	736	435	2468	1137	787	313	213	352	205	195	168	122	100	2133	421	316	784	168	47	129	117	131
OTU_8016	157	292	586	673	760	676	218	165	144	164	10	203	39	85	70	51	108	70	76	104	145	6	65	77	2726	3424	664	318	1022	1034
OTU_12042	485	295	360	1091	761	837	10	1	1	5	0	6	0	0	1	1	0	1	1	6	7	1	1	3	115	762	3845	1026	3127	1418
OTU_12050	258	135	442	291	286	299	159	108	97	99	91	73	261	274	360	302	322	331	326	396	461	136	364	353	86	6199	418	151	367	264
OTU_12022	188	99	4482	299	348	411	388	83	198	196	9	289	16	18	59	52	11	109	169	1413	1293	44	89	275	5	513	547	210	800	912
OTU_11207	459	382	1571	469	960	146	4	12	6	9	12	2	0	0	0	0	0	0	0	0	0	0	0	0	1400	1735	1086	2131	957	2792
OTU_9331	430	548	1009	441	620	864	98	226	211	124	74	273	186	170	98	133	93	94	199	256	188	80	217	248	365	1088	1451	1982	1166	768
OTU_10865	69	59	77	52	87	80	701	796	823	864	750	568	559	598	531	583	491	520	565	609	567	634	558	560	32	102	295	183	74	157
OTU_8014	206	312	715	613	674	599	305	257	144	235	16	307	57	113	99	83	211	69	77	143	218	11	66	73	1889	2833	668	296	1123	1069
OTU_4496	304	515	820	185	380	337	159	133	144	84	13	137	11	39	28	44	32	31	9	316	98	28	33	43	409	1767	778	1514	3171	1971
OTU_14562	38	1	2	6	4	58	118	96	75	73	66	153	775	831	1154	996	1033	1083	968	756	1058	433	1072	953	4	9	64	3	11	30
